foundation_name,foundation_state,foundation_total_assets,siblings_funded,grants_to_siblings,target_grants_to_siblings,target_first_grants,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants,geo_eligible,client_eligible
FEITLER FAMILY FUND,IL,8441685,1,2,0,0,10000,2019,f,t,
TW PRICE GILBERT JR CHARITABLE FUND,NV,8220449,1,3,0,0,10000,2023,t,t,
HARRY AND MASIE MASTO FOUNDATION,WA,8107247,1,19,0,0,10000,2023,f,t,
THE SODHANI FOUNDATION INC,NJ,8007552,1,7,0,0,1700,2023,f,t,
ROBERT AND ADELE STERN FOUNDATION,CA,7855175,1,1,0,0,30000,2023,f,t,
The Hirani Family Foundation,CA,7831163,1,1,0,0,5000,2020,f,t,
Dimick Foundation,DC,7777965,1,1,0,0,1000,2022,t,t,
THE BANK OF AMERICA CHARITABLE,NC,7556845,7,36,0,0,145,2023,t,t,
LPL Financial Foundation Inc,MA,7406176,1,2,0,0,400,2022,f,t,
WALTER A BLOEDORN FOUNDATION,DC,7347838,1,1,0,0,5000,2023,t,t,
Arthur J Gallagher Foundation,IL,7239988,1,1,0,0,417,2020,f,t,
Webster Bank Charitable Foundation,DE,7094937,1,1,0,0,200,2022,t,t,
THE REIDLER FOUNDATION,PA,6979813,1,6,0,0,5000,2023,f,t,
Claire & Maurits Edersheim Foundation,CT,6669928,1,2,0,0,12500,2020,f,t,
THE STEPHEN PHILIBOSIAN FOUNDATION,CA,6659414,1,1,0,0,2000,2022,f,t,
Ron and Lisa Brill Charitable Trust,DE,6643244,1,7,0,0,1000,2023,f,t,
El-Gamal Family Foundation,DE,6556314,2,12,0,0,3000,2024,f,t,
THE FONDA FAMILY FOUNDATION INC,GA,6497921,1,3,0,0,32500,2020,f,t,
EVERY ORG,CA,6425932,1,1,0,0,12826,2023,f,t,
FANNY & SVANTE KNISTROM FOUNDATION,NJ,6348768,1,4,0,0,13750,2023,f,t,
Chip Conley Foundation,CA,6261417,1,1,0,0,5000,2022,f,t,
SWIG FOUNDATION,CA,5527018,1,2,0,0,1000,2021,f,t,
THE STANLEY S LANGENDORF FOUNDATION,CA,5457157,1,2,0,0,5000,2022,t,t,
JAMES R AND ANITA HORNE JENKINS,MI,5255759,1,1,0,0,11025,2019,f,t,
THE ISABEL ALLENDE FOUNDATION,CA,5138233,1,4,0,0,24750,2023,f,t,
MONDELEZ INTERNATIONAL FOUNDATION,IL,5064746,2,3,0,0,600,2022,f,t,
Tatar Family Foundation,DE,4953184,1,1,0,0,500,2018,f,t,
JAMES & WANDA HOLLENSTEINER FOUNDATION,MT,4928124,1,1,0,0,250,2020,f,t,
THE RODERICK GROUP FOUNDATION INC,FL,4925888,1,1,0,0,5000,2023,f,t,
THE ADLER FOUNDATION INC,VA,4632978,1,1,0,0,100,2022,f,t,
SCANSOURCE CHARITABLE FOUNDATION,SC,4599572,1,1,0,0,2000,2023,t,t,
McNabb Foundation,DE,4295050,1,2,0,0,1000,2022,f,t,
NEIL & SANDRA DEFEO FAMILY FOUNDATI,FL,4116413,1,1,0,0,2500,2023,f,t,
JOHN PRITZKER FAMILY FUND,CA,3831160,1,1,0,0,5000,2019,f,t,
CHICAGO BOARD OF TRADE FOUNDATION,IL,3812353,1,5,0,0,5000,2023,f,t,
THE LYON FAMILY FOUNDATION,IL,3748133,1,1,0,0,2350,2020,f,t,
CARYLL M & NORMAN F SPRAGUE,CA,3681349,1,2,0,0,3000,2023,f,t,
THE EACHO FAMILY FOUNDATION,MD,3666422,1,3,0,0,3000,2023,f,t,
TURNER CONSTRUCTION COMPANY FOUNDATION,OH,3595482,1,1,0,0,25000,2020,f,t,
HARRY F CHADDICK AND ELAINE,IL,3594257,1,4,0,0,7500,2022,f,t,
HERMAN STALLMAN ESTHER STALLMAN &,KS,3434344,1,2,0,0,2641,2023,t,t,
NELSON TALBOTT FOUNDATION,DC,3289646,1,4,0,0,11825,2023,f,t,
THE RESTORATION FOUNDATION,TN,3283159,1,1,0,0,11000,2020,f,t,
King Family Foundation,TX,3244724,1,1,0,0,4500,2018,t,t,
THE C F ROE SLADE FOUNDATION,NY,3108103,1,2,0,0,30000,2022,f,t,
THE NEU FOUNDATION OF CALIFORNIA INC,NJ,2955015,1,2,0,0,2500,2023,f,t,
THE JAMF NATION GLOBAL FOUNDATION,MN,2937169,1,2,0,0,5000,2019,f,t,
DAVID WOODS KEMPER MEMORIAL FOUNDATION,MO,2876216,1,1,0,0,5000,2019,f,t,
THE RICHARD C MUNROE FOUNDATION INC,FL,2867669,1,1,0,0,5000,2022,t,t,
COMERICA CHARITABLE FOUNDATION,MI,2825546,1,1,0,0,5000,2020,f,t,
NORMAN & ELAINE POLSKY FAMILY,KS,2694633,1,4,0,0,2000,2023,t,t,
NEW FRONTIERS FOUNDATION,IL,2692800,1,6,0,0,12500,2023,t,t,
THE JALS FAMILY FOUNDATION,GA,2606304,1,1,0,0,2500,2020,t,t,
DONNELLY FAMILY FOUNDATION CORP,FL,2530597,1,4,0,0,22500,2024,f,t,
LEO NIESSEN JR CHARITABLE TR-MAIN,MO,2326195,1,1,0,0,5000,2023,t,t,
THE DUANE WILDER FOUNDATION INC,TX,2323525,1,1,0,0,1000,2023,f,t,
SCOTT FAMILY FOUNDATION INC,NM,2195494,1,5,0,0,2000,2022,f,t,
COUCHMAN & NOBLE FOUNDATION INC,GA,2079049,1,1,0,0,1000,2020,f,t,
Good Heart Work Smart Foundation,IL,2033361,1,4,0,0,1250,2022,f,t,
BESSIE MINOR SWIFT FOUNDATION,VA,1971515,1,5,0,0,2071,2022,f,t,
JCT FOUNDATION,MI,1939848,1,1,0,0,10000,2021,f,t,
DIAMOND MIND FOUNDATION,MD,1912231,1,2,0,0,1500,2020,f,t,
CRESCENT ELECTRIC CHARITABLE FOUNDATION,IL,1888911,1,1,0,0,600,2023,f,t,
Dauber Foundation,CA,1856555,1,1,0,0,52000,2023,t,t,
THE GUIDA FAMILY FOUNDATION,IL,1774973,1,1,0,0,4990,2023,f,t,
The Herman Foundation,CA,1575311,1,1,0,0,5000,2023,f,t,
