foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
THE RUDISILL FAMILY FOUNDATION,NC,5216050,0,5000,2022,f
CHARLES P FERRO FOUNDATION,VT,5185780,0,2000,2023,t
Speckman Family Foundation,OR,5062932,0,5000,2019,f
TREFLER FOUNDATION,MA,5041485,0,2500,2019,f
THE NANCY & VICTOR S JOHNSON JR,TN,5018413,0,3000,2024,f
WESTPORT FUND,DC,4900060,0,1000,2022,f
THE NURTURE FOUNDATION,CA,4845263,0,2600,2022,f
THE GAP FOUNDATION,CA,4777763,0,175,2023,t
THE GERTLER CLARK FOUNDATION INC,MA,4711263,0,32500,2023,f
HENRIETTA TOWER WURTS MEMORIAL,PA,4660138,0,2000,2023,t
TPI FOUNDATION INC 1045002342,WI,4645579,0,500,2020,f
OKUROWSKI FAMILY FOUNDATION,MA,4527716,0,1000,2019,f
VAUGHN L AND ELEANORE M BEALS,AZ,4518120,0,2000,2023,f
Origami Works Foundation,IL,4490964,0,1200,2022,f
BNSF RAILWAY FOUNDATION,TX,4343485,0,500,2021,t
THE GORDON FUND,NY,4336977,0,26200,2024,f
GEORGE AND MARY JO BUDIG FAMILY,KY,4330184,0,400,2023,f
THE BEACON FOUNDATION,RI,4306177,0,625,2024,t
SIX TALENTS FOUNDATION INC,NJ,4283605,0,5000,2021,f
POWELL FAMILY FOUNDATION,PA,4267783,0,5000,2020,f
NHL FOUNDATION US INC,NY,4252600,0,25000,2020,f
WEBSTER FAMILY FOUNDATION (FKA,FL,4239828,0,10000,2022,f
FIRST HAWAIIAN BANK FOUNDATION,HI,4233525,0,50000,2023,t
THE MORGAN CHARITABLE FOUNDATION,TX,4143380,0,10000,2022,t
RAY C MCKINLEY FAMILY FOUNDATION AGENCY,NE,4142446,0,1000,2022,f
SKETCH FOUNDATION,TX,4049744,0,15000,2020,f
ROBERT S & MARIA J REISMAN CHARITABLE TR,MA,3998052,0,21000,2023,f
BECKMAN FAMILY FOUNDATION,NY,3973703,0,500,2022,f
HASBRO FOUNDATION INC,RI,3789852,0,8500,2023,t
XCEL ENERGY FOUNDATION,MN,3671471,0,575,2023,t
THE DARRELL & SUSAN ROSS,FL,3660768,0,100,2018,t
GODDARD RESTORATIVE CARE UNIT INC,MA,3659209,0,10000,2018,f
Carmen-Lederer Family Foundation,MA,3609623,0,100000,2024,f
NANCY AND GEOFFREY STACK FAMILY,CA,3506619,0,2500,2018,f
Outride,CA,3474372,0,15000,2023,f
KATTOM FOUNDATION,CA,3394214,0,25000,2022,f
ARTHUR K SMITH FAMILY FOUNDATION INC,CA,3364066,0,5000,2023,f
CARDINAL FOUR FOUNDATION INC,NY,3298177,0,750,2023,f
THE WHITE COMPANIES CHARITABLE TRUST,MA,3261640,0,100,2021,f
ROSALIND AND FRANKLYN SCHAEFER FAMILY,CT,3076032,0,11250,2019,f
