rank,ein,foundation_name,city,total_giving,grant_count,median_grant,largest_grant,assets,accepts_applications,most_recent_year
32,371570764,Delta Dental Community Care Foundation,San Francisco,11583840,58,100000,1080000,47957742,False,2024
33,943334424,Robert and Ruth Halperin Foundation,San Francisco,11555790,70,75000,1985000,164727257,False,2023
34,463653488,UCSF Discovery Fellows Fund,San Francisco,11079383,2,5539692,5874166,124545473,False,2023
35,237003595,Walter S Johnson Foundation,San Francisco,10788000,112,100000,696000,111397435,True,2023
36,201042419,Gilead Foundation,Foster City,10140000,31,150000,1000000,162540742,False,2023
37,943155938,Solid Rock Foundation,San Francisco,9200000,56,150000,400000,62938247,False,2024
38,201844715,Quest Foundation,Danville,8974313,207,35000,150000,104441761,False,2023
39,942506257,The Bernard Osher Foundation,San Francisco,8913500,25,50000,1050000,31589307,True,2023
40,204170342,The Schmidt Family Foundation,Palo Alto,8897000,98,62500,591500,1834552574,True,2023
41,943330604,Mitchell Kapor Foundation,Oakland,8310565,16,80000,2510000,117513185,True,2023
42,680233907,The Binkley Foundation,Mill Valley,7880209,4,2624403,2624403,2708571,False,2023
43,331114104,The Shimon Ben Joseph Foundation,San Francisco,7571094,57,50000,1000000,1445120697,False,2023
44,946093385,Crescent Porter Hale Foundation,San Francisco,7559000,87,50000,1380000,117606386,True,2023
