ein,org_name,state,city,sector,website,employee_count,volunteer_count,total_revenue,total_expenses,contributions_grants,program_service_revenue,grant_dependency_pct,num_foundation_grants,num_unique_funders,total_foundation_grant_amount,icp_score,fundraising_likelihood_score,mission_statement,fiscal_year_end_month,program_revenue_pct,volunteer_to_employee_ratio
430652663,THE YOUTH AND FAMILY CENTER,MO,SAINT LOUIS, ,WWW.THEYFC.ORG,5,153,1013038.00,853708.00,1001242.00,0.00,98.84,3,2,11500.00,9,8,"FOR OVER 130 YEARS, THE YOUTH AND FAMILY CENTER HAS PROVIDED HOPE IN OUR COMMUNITY AND HAS HELPED FAMILIES, AND OLDER ADULTS ATTAIN SELF-SUSTAINING LIVES BY PROVIDING SOCIAL, EDUCATIONAL, AND RECREATIONAL RESOURCES WHILE SERVING AS AN ANCHOR IN ST. LOUIS",12,0.0,30.60
522241212,INTERNATIONAL SENIOR LAWYERS',NY,NEW YORK,Q,HTTPS://ISLP.ORG,7,301,1653489.00,1523302.00,1582367.00,17000.00,95.70,3,1,650000.00,9,8,MOBILIZE PRO BONO LEGAL SUPPORT TO PROMOTE THE RULE OF LAW AND INCLUSIVE AND JUST DEVELOPMENT.,12,1.0,43.00
770491141,Animal Friends Rescue Project,CA,Pacific Grove,P,www.animalfriendsrescue.org,23,620,1203270.00,1369849.00,867214.00,99282.00,72.07,13,9,45335.00,9,8,"The Organization is dedicated to finding life-long loving homes for stray, abandoned and abused cats, dogs and rabbits. The Organization concentrates on networking with other animal welfare agencies in the county and throughout the state to provide a safety net for the animals with the least chance of survival. The Organization plays a unique role in the community by rescuing animals that are at most risk in the shelter environment, the underage, nursing, senior, injured, shy and overlooked animals. Learn more at www.animalfriendsrescue.org",12,8.3,26.96
954613280,MEALS ON WHEELS WEST,CA,SANTA MONICA,P,WWW.MEALSONWHEELSWEST.ORG,22,458,1797849.00,2071340.00,1710571.00,53885.00,95.15,35,20,249410.00,9,8,"TO PROVIDE HOME-DELIVERED MEALS TO THE FRAIL, ILL, MOBILITY IMPAIRED, SENIOR AND VETERAN WHO IS UNABLE TO SHOP OR PROVIDE FOR THEMSELVES. OUR MISSION IS TO HAVE THESE PEOPLE LIVE INDEPENDENTLY IN THEIR OWN HOMES BY PROVIDING DAILY WELLNESS CHECKS THROUGH OUR MEAL DELIVERY VOLUNTEER VISITS AND BY OUR VOLUNTEER PHONE REASSURANCE PROGRAM.",6,3.0,20.82
920150918,Mat-Su Food Bank,AK,Wasilla,K,matsufoodbank.org,5,100,2836507.00,1343054.00,2711677.00,0.00,95.60,1,1,10000.00,9,8,Distribution of donated food to recipients in need.,12,0.0,20.00
261682601,FOUNDATION FOR FOSTER CHILDREN INC,FL,WINTER PARK,P,WWW.FOUNDATIONFORFOSTERCHILDREN.ORG,18,2,2156286.00,2709472.00,2100288.00,35834.00,97.40,57,33,549770.00,8,8,OUR MISSION IS TO CREATE MEANINGFUL CONNECTIONS FOR CHILDREN IN FOSTER CARE THROUGH PERSONALIZED SUPPORT.,12,1.7,0.11
860769031,TU NIDITO CHILDREN AND FAMILY,AZ,TUCSON,E,HTTP://WWW.TUNIDITO.ORG,19,140,1173134.00,832894.00,1080401.00,0.00,92.10,14,7,74794.00,8,8,TO CREATE A COMMUNITY OF ACCEPTANCE AND UNDERSTANDING FOR THOSE GRIEVING A SERIOUS MEDICAL CONDITION OR DEATH.,12,0.0,7.37
953219656,CONEJO HOSPICE INC,CA,THOUSAND OAKS, ,www.hospiceoftheconejo.org,8,85,875284.00,332167.00,842924.00,0.00,96.30,3,2,29000.00,8,8,"Hospice of the Conejo is a non-medical, community-based volunteer hospice and grief support center providing high quality support to the terminally ill and their family members in their homes and care facilities, in addition to offering therapist-led grief support to people of all ages struggling with loss under any circumstance. All services are offered at no charge. Volunteers provided 2,964 hours of service to patients and their family members in 2021. Additional hours were provided for administrative and operational support in 2021.",12,0.0,10.63
061435280,CONNECTICUT VOICES FOR CHILDREN INC,CT,NEW HAVEN,P,WWW.CTVOICES.ORG,12,0,1085317.00,1490449.00,1058385.00,6229.00,97.52,14,9,787750.00,8,8,"WE PROVIDE TRUSTED, QUALITY RESEARCH, RECOMMENDATIONS AND ADVOCACY THAT ADVANCE PUBLIC POLICY AND INVESTMENTS TO IMPROVE THE WELL-BEING OF CONNECTICUT'S CHILDREN AND FAMILIES, SPECIFICALLY THOSE THAT HAVE BEEN HISTORICALLY DISADVANTAGED.",12,0.6,
132883065,YOUTH SHELTER PROGRAM OF,NY,MOUNT VERNON,P,WWW.YSOW.ORG,31,8,1965024.00,2551950.00,1931818.00,0.00,98.31,6,5,21500.00,8,8,"PROVIDE YOUTH AGES 16-21 AN ALTERNATIVE LIVING SITUATION WHILE THEY ARE AWAITING THEIR COURT APPEARANCES. OUR MISSION IS TO EDUCATE AND MOTIVATE OUR YOUNG RESIDENTS BY PROVIDING THEM WITH OPPORTUNITIES FOR SUCCESS THROUGH SPECIALIZED PROGRAMS THAT PROVIDE THE SUPPORT NECESSARY FOR THEM TO FUNCTION AS POSITIVE, CONTRIBUTING MEMBERS OF SOCIETY UPON THEIR EVENTUAL RETURN TO THEIR COMMUNITIES.",12,0.0,0.26
