ein,org_name,state,sector,ntee_code,total_revenue,employee_count,website,mission_statement,icp_score,revenue_band,emp_band
391614603,DOOR COMMUNITY AUDITORIUM CORP,WI,B,B24I,2756020.00,8,WWW.DCAUDITORIUM.ORG,"DOOR COMMUNITY AUDITORIUM SERVES AS A CENTER TO ENRICH, ENTERTAIN, AND CHALLENGE THROUGH A BALANCED COMBINATION OF PERFORMING, VISUAL, AND LITERARY ARTS; AND TO PROVIDE OPPORTUNITIES FOR SOCIAL, EDUCATIONAL, AND CULTURAL GROWTH.",8,$2M-$3.5M,6-15
582069233,Communities Supporting Schools,NC,B,B90Z,636452.00,15,www.waynecss.org,"CSS' mission is to provide opportunities for students to stay in school, graduate, and be successful in life.",9,$500K-$1M,6-15
465758781,NEW HAMPSHIRE ACADEMY OF SCIENCE,NH,B,B90,900632.00,12,WWW.NHACADSCI.ORG,"TO FURTHUR THE WORK OF SCIENTISTS IN NEW HAMPSHIRE AND TO PROVIDE A FORUM FOR SCIENTIFIC DISCUSSION, INTERACTION AND COLLABORATION. ALSO TO ENCOURAGE AUTHENTIC SCIENTIFIC RESEARCH IN MIDDLE AND HIGH SCHOOLS THROUGH DIRECT INVOLVEMENT WITH THE NH JUNIOR ACADEMY OF SCIENCE.",9,$500K-$1M,6-15
730957262,Rogers State University Foundation,OK,B,B110,1912066.00,0,www.rsu.edu/development-foundation,"Support Rogers State University's programs, services and students",7,$1M-$2M,Unknown
542027915,VIRGINIA INSTITUTE OF MARINE SCIENCE FDN,VA,B,B20,1978461.00,0,WWW.VIMS.EDU,"THE VIMS FOUNDATION ADVISES AND ASSISTS THE VIRGINIA INSTITUTE OF MARINE SCIENCE, PROMOTES PHILANTHROPY TO AND STEWARDS THE PHILANTHROPIC RESOURCES OF THE VIMS FOUNDATION, AND ITS MEMBERS ACT AS ALLIES AND AMBASSADORS TO POSITION VIMS AS THE PREEMINENT LEADER IN COASTAL AND ESTUARINE SCIENCE AND EDUCATION FOR VIRGINIA AND THE WORLD.",7,$1M-$2M,Unknown
455424452,A CONTINUOUS CHARITY,TX,B,B82,2559784.00,0,WWW.ACONTINUOUSCHARITY.ORG,EDUCATE STUDENTS IN FINANCIAL NEED,7,$2M-$3.5M,Unknown
450452872,Science & Environmental Health Network,IA,C,C020,829712.00,5,www.sehn.org,"IN SERVICE TO COMMUNITIES, THE EARTH AND FUTURE GENERATIONS, THE SCIENCE AND ENVIRONMENTAL HEALTH NETWORK FORGES SCIENCE, ETHICS, AND LAW INTO TOOLS FOR ACTION.",7,$500K-$1M,1-5
550858194,NISQUALLY RIVER FOUNDATION,WA,C,C30,1017838.00,5,nisquallyriver.org,"Foster a healthy Nisqually Watershed through partnerships, engaging volunteers, and environmental education. Secure funding for Foundation and Council operations to facilitate increased collaboration between existing and new partners, implement projects identified in the Nisqually Watershed Stewardship Plan, and maintain and enhance key long-term programs.",9,$1M-$2M,1-5
263426758,Napa Valley Vine Trail Coalition,CA,C,C34,2783541.00,5,www.VineTrail.org,"The Napa Valley Vine Trail Coalition is a grass-roots nonprofit with a vision to build a walking/biking trail system to connect the entire Napa Valley--physically, artistically, and culturally. We are working to design, fund, construct, and maintain 47 safe and scenic miles of level, paved, family-friendly, pet-friendly, free-access Class I trail, stretching from the Vallejo Ferry to Calistoga.",7,$2M-$3.5M,1-5
204395919,Friends of the Water Conservation Garden,CA,C,C32,1971645.00,29,www.thegarden.org,Educate and inspire through excellent exhibits and programs that promote water conservation and the sustainable use of related natural resources.,10,$1M-$2M,16-50
