foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
Arvest Foundation,AR,21003898,0,2500,2020,f
J S Bridwell Foundation,TX,20875160,0,20000,2023,f
THE NORCLIFFE FOUNDATION,WA,20421324,0,12500,2022,t
First Interstate BancSystem Foundation,MT,20270202,0,3213,2023,t
JAMES G HANES MEMORIAL FUND,NC,20011960,0,200000,2022,t
MASON WRIGHT FOUNDATION INC,MA,19676532,0,61204,2023,f
Middlesex Savings Charitable,MA,19467768,0,20500,2023,t
UFP INDUSTRIES FOUNDATION,MI,19284165,0,26500,2024,f
WC ENGLISH FOUNDATION,VA,19254955,0,30000,2023,t
CH ROBINSON WORLDWIDE FOUNDATION,SD,19235419,0,2625,2022,t
MCMILLEN FAMILY FOUNDATION,CA,19130285,0,40000,2019,t
PUGET SOUND ENERGY FOUNDATION,DE,19074789,0,220,2023,f
THE THEODORE H BARTH FOUNDATION INC,NY,18989111,0,7500,2023,t
KHARIS FOUNDATION,TN,18866662,0,50000,2022,t
PETERSEN BRUCE & CECILIA FDN-MAIN,NV,18827219,0,15000,2022,f
DALTON CARL & PHYLLIS FAMILY FDN,MI,18721233,0,15840,2020,f
BAUGHMAN FOUNDATION,KS,18657436,0,5000,2022,t
AA VAN ELSLANDER FOUNDATION,MI,18653761,0,46500,2023,t
THE KERR FOUNDATION INC,OK,18624951,0,2500,2022,t
Eugenie & Joseph Jones Family Foundation,LA,18397699,0,25000,2023,t
FLOURISH - A FAMILY FOUNDATION,MO,17932685,0,50000,2024,f
COLLINS C DIBOLL PRIVATE FOUNDATION,LA,17928701,0,10000,2023,t
THE JOSEPH LEROY AND ANN C,NY,17874516,0,75000,2023,t
THE MONIKER FOUNDATION,CO,17814680,0,5000,2024,f
MAGRUDER CHESLEY G FDN IM,FL,17658129,0,10000,2023,f
ALCIBIE ALLIANCE INCORPORATED,CA,17477100,0,75000,2022,f
GE FOUNDATION,CT,17339609,0,200,2022,t
THE JAMES FOUNDATION INC,IN,17335518,0,1000,2023,t
Perkins-Prothro Foundation,TX,17195304,0,12500,2023,f
THE J K LOWDER FAMILY FOUNDATION,AL,17145514,0,2200,2020,f
CITIZENS PHILANTHROPIC FOUNDATION INC,NJ,16928371,0,3250,2023,t
WILLIAM B ORKIN FOUNDATION INC,GA,16774510,0,300,2020,f
AETNA FOUNDATION INC,CT,16647339,0,109,2020,t
GRANITE FOUNDATION AGENCY (PLG),MN,16582190,0,2000,2022,t
FLORENCE V BURDEN FOUNDATION,NY,16569550,0,15000,2020,f
THE GORDON CHARTER FOUNDATION,PA,16346799,0,10000,2021,t
EDMOND AND ALICE OPLER FOUNDATION,IL,16262098,0,5000,2018,f
ASTRUP FAMILY FOUNDATION,NJ,16019934,0,10000,2023,f
FRED & JEAN ALLEGRETTI FOUNDATION,FL,15841717,0,2500,2021,t
STEVENS SQUARE FOUNDATION,MN,15508371,0,25000,2022,t
ARBELLA INSURANCE FOUNDATION,MA,15246058,0,1500,2023,t
DUGAN-SCALLON FOUNDATION,WI,15202912,0,25000,2022,f
Disque Foundation LTD,IN,15198322,0,315,2021,t
THE FREED FOUNDATION,FL,15158648,0,30000,2020,f
HULTQUIST FOUNDATION INC,NY,15093081,0,22122,2020,t
Institution for Savings in Newburyport &,MA,14836602,0,1000,2021,t
CARL M JACOBS FOUNDATION,OH,14803713,0,15000,2024,f
ARTHUR FAMILY FOUNDATION,FL,14673871,0,20000,2023,f
CRESAP FAMILY FOUNDATION,OK,14647026,0,14000,2023,t
REYNOLDS FOUNDATION 186-8803582,TN,14383741,0,75000,2022,t
OUTRAGEOUS FOUNDATION INC,CA,14373006,0,5000,2022,f
TA JOHN W AND ANNA H,NC,14361394,0,150000,2022,t
THE A MONTGOMERY WARD FOUNDATION,TX,14327674,0,15000,2023,t
WITH FOUNDATION,CA,14178996,0,500,2022,t
SEMPRA FOUNDATION,CA,14132710,0,2600,2022,f
JOHN AND JOYCE CADDELL FOUNDATION,AL,14071527,0,47500,2023,t
THE JOLSON FAMILY FOUNDATION,CA,13610129,0,5000,2023,f
LAMB WESTON CHARITABLE FOUNDATION,ID,13539943,0,50,2022,f
THE BUTLER FOUNDATION,KY,13471508,0,10000,2019,t
TRUSTMARK FOUNDATION,IL,13466560,0,5000,2024,f
The Stare Fund,MA,13300915,0,7779,2023,f
Blue Cross and Blue Shield of Kansas,KS,13266048,0,672,2021,t
THE SWIGERT FOUNDATION,OR,13180453,0,10000,2023,t
THE DONNELLEY FOUNDATION,IL,13044672,0,1500,2022,f
