foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
AMERICAN SAVINGS FOUNDATION INC,CT,98115541,0,7500,2022,t
HARVEY E NAJIM CHARITABLE,TX,97744165,0,29396,2023,t
LELAND FIKES FOUNDATION INC,TX,97292363,0,30000,2023,f
Cambia Health Foundation,OR,94018601,0,50000,2018,t
THE ADDY FOUNDATION,TX,93400403,0,75000,2021,t
THE LOUIS AND GLORIA FLANZER,FL,93238040,0,23100,2023,t
TARGET FOUNDATION,MN,92692164,0,100000,2023,t
POHLAD FAMILY FOUNDATION,MN,89941706,0,150000,2023,t
PFAFFINGER FOUNDATION,CA,89100108,0,10000,2018,t
SYNCHRONY FOUNDATION,CT,88394943,0,225,2022,f
CITI FOUNDATION,NY,88205234,0,250000,2022,f
THE HYDE AND WATSON FOUNDATION,NJ,87251751,0,10000,2022,t
BERGES FAMILY FOUNDATION,MO,86838334,0,80000,2023,t
TULL CHARITABLE FOUNDATION INC,GA,86559137,0,200000,2022,t
Ronald D Deffenbaugh Foundation CO Charles E Wetzler - Trustee,KS,86336660,0,50000,2018,f
WILSON FOUNDATION,MN,86289365,0,250000,2023,f
Pershing Charitable Trust,MO,85953940,0,187500,2023,t
THE HAROLD & ARLENE SCHNITZER CARE,OR,85787092,0,7264,2023,f
J C KENNEDY FOUNDATION INC,GA,85777430,0,12500,2023,f
ALLIANCE HEALTHCARE FOUNDATION,CA,85505150,0,25000,2023,t
SCHLESSMAN FOUNDATION INC,CO,84366246,0,5000,2023,f
THE OAK HILL FUND,VA,83598521,0,109200,2024,t
THE BARRA FOUNDATION INC,PA,82165197,0,17000,2023,t
ALLY CHARITABLE FOUNDATION,NC,81746335,0,19250,2023,t
HOUGH FAMILY FOUNDATION INC,FL,81639206,0,362500,2023,f
THE DANIEL P AMOS FAMILY FOUNDATION,GA,81370536,0,30000,2019,f
WELFARE FOUNDATION INC,DE,79032992,0,75000,2022,t
THE KEITH HARING FOUNDATION INC,NY,77843671,0,35000,2023,f
EDWARD JONES FOUNDATION,MO,77533882,0,100000,2022,f
THE JAY & ROSE PHILLIPS FAMILY FOUNDATION,CA,76656038,0,50000,2020,f
COLTON FAMILY FOUNDATION,NJ,75743717,0,14420,2023,f
Moccasin Lake Foundation,DE,74717423,0,200000,2023,t
THE WILF FAMILY FOUNDATION,NJ,74508455,0,2500,2022,f
WILLIAM S ABELL FOUNDATION INC,MD,73635586,0,25000,2022,t
CINNAIRE CORPORATION,MI,73402742,0,1500,2019,f
CDV5 FOUNDATION,MI,73236396,0,25000,2023,t
THE GARY W ROLLINS FOUNDATION,GA,72788375,0,89000,2023,f
THE SAUER FAMILY FOUNDATION,MN,72581599,0,25000,2018,t
AMERICAN WATER CHARITABLE FOUNDATIONINC,NJ,72511580,0,10000,2024,t
THE PRUDENTIAL FOUNDATION,NJ,71396350,0,225000,2024,f
THE WILLIAM R ORTHWEIN JR AND LAURA,MO,71081750,0,25000,2022,t
AMERICAN EXPRESS FOUNDATION,NY,71012960,0,62,2022,t
DOUGLAS & MARIA DEVOS FOUNDATION,MI,70663614,0,30000,2023,t
HARDENBERGH FOUNDATION,MN,70334728,0,17500,2023,t
THE BELLWETHER FOUNDATION,MO,70041889,0,27500,2022,t
BRISTOL-MYERS SQUIBB FOUNDATION INC,NJ,68802568,0,125,2023,t
JOHN R MCCUNE DEC'D CHARITABLE,PA,68723635,0,55762,2022,f
The Washington Home Inc,DC,68657642,0,38000,2020,f
THE GABY FAMILY FOUNDATION,GA,68652113,0,10000,2020,f
The Sheila Dave & Sherry Gold Foundation,CA,68555184,0,25000,2023,f
Reissa Foundation,DE,68552135,0,20000,2020,f
Rice Foundation,IL,66938151,0,10000,2022,f
STOLTE FAMILY FOUNDATION,WA,66887898,0,50250,2018,f
CLEVELAND H DODGE FOUNDATION INC,NY,66555050,0,500,2023,t
Kozmetsky Family Foundation,TX,65972325,0,100000,2022,f
TEXAS INSTRUMENTS FOUNDATION,TX,65955596,0,1000,2023,t
THE HAMILTON COMPANY CHARITABLE,MA,65711553,0,20000,2023,f
HILL CREST FOUNDATION INC,AL,65598911,0,50000,2023,t
KOPP FAMILY FOUNDATION,MN,65506471,0,25000,2023,f
THE JACOBSON FAMILY FOUNDATION,NY,65472806,0,1750,2020,f
Ruby W and Lavon P Linn Foundation,MA,65201899,0,152700,2020,f
RANDOLPH D ROUSE FOUNDATION INC,VA,65013041,0,30000,2023,f
CAPITAL ONE FOUNDATION INC,VA,63821096,0,20000,2018,f
LAFFEY-MCHUGH FOUNDATION,DE,63648192,0,17500,2023,t
ORMJMP FOUNDATION,FL,61192112,0,100000,2023,f
SAHM FAMILY FOUNDATION,CA,60526186,0,100000,2019,f
VISITING NURSE ASSOCIATION OF CHICAGO,IL,60499362,0,45000,2022,t
THE SCOTT HUDGENS FAMILY,GA,59502709,0,62500,2023,t
CRABBY BEACH FOUNDATION,OR,57556611,0,75000,2023,f
TR UW JACOB SCHMIDLAPP #1,OH,56897948,0,150000,2021,t
EDWARDS LIFESCIENCES FOUNDATION,CA,56296533,0,2000,2023,t
DURFEE FOUNDATION,CA,56135321,0,5000,2020,t
DR SEUSS FOUNDATION,CA,55778403,0,7500,2019,t
CONSUMERS ENERGY FOUNDATION,MI,55085639,0,1250,2023,t
GOD'S GIFT,CA,54258844,0,17500,2023,f
SELECT EQUITY GROUP FOUNDATION,NY,53281525,0,1650,2020,f
The Wana Brands Foundation,CO,52905210,0,3000,2023,f
THE CABOT FAMILY CHARITABLE TRUST,MA,52539263,0,25000,2023,f
DICK AND BETSY DEVOS FAMILY FOUNDATION,MI,52282355,0,25000,2023,t
Franklin P and Arthur W Perdue Foundation,DE,50644395,0,1750,2021,t
ROCKLAND TRUST CHARITABLE FOUNDATION,MA,50266676,0,5000,2023,t
THE FOSTER FOUNDATION,WA,50018756,0,10000,2023,t
ACT FOUNDATION INC,GA,49616165,0,7500,2022,f
THE DOUGLASS BRANDENBORG FAMILY FDN,MN,49522322,0,112500,2023,f
DIANE AND DOROTHY BROOKS FOUNDATION,CA,49512595,0,10000,2023,f
THE RUTH AND HAL LAUNDERS CHARITABLE,VA,49506006,0,7500,2022,f
THE THOMAS AND AGNES CARVEL FOUNDATION,NY,49177623,0,25000,2023,t
THE BULLITT FOUNDATION,WA,48706824,0,300,2023,f
THE IMLAY FOUNDATION INC,GA,48606576,0,150000,2022,f
THE PARKER FOUNDATION,CA,48077437,0,47500,2023,t
THE RESSLER FAMILY FOUNDATION,CA,48000837,0,20000,2022,f
AbbVie Foundation,IL,47404120,0,2000,2020,f
WILLIAM JOSEF FOUNDATION INC,GA,47360726,0,150000,2023,f
THE WEST END HOME FOUNDATION,TN,47072028,0,48380,2022,t
JOHN AND DENISE GRAVES FOUNDATION,MN,46651122,0,50000,2023,t
D F DILLON FOUNDATION,NE,46620482,0,10000,2022,f
The Constantin Foundation Inc,TX,46321884,0,58000,2023,t
BARON FAMILY FOUNDATION,NY,46145748,0,1000,2023,f
The Perot Foundation,TX,45573211,0,65000,2019,t
CHICHESTER DUPONT FOUNDATION INC,DE,45145374,0,27500,2023,t
SAMUEL S FELS FUND,PA,45116266,0,100000,2022,f
THE FRUTH FAMILY FOUNDATION,FL,45079470,0,10000,2023,f
ROBERT H REAKIRT FDN EQUITIES,PA,44904271,0,46796,2020,t
THE DAN AND MARGARET MADDOX FUND INC,TN,44641247,0,6000,2018,t
AMICA COMPANIES FOUNDATION,RI,43815872,0,175,2020,f
THE THOMAS M AND IRENE KIRBO,FL,43718475,0,13750,2023,t
CHUBB CHARITABLE FOUNDATION,PA,43474175,0,300,2023,t
PETER C & EMAJEAN COOK FOUNDATION,MI,43422630,0,13000,2023,t
MOJO FOUNDATION,MI,43399361,0,25000,2023,t
REVADA FOUNDATION,VA,43295360,0,10000,2020,f
LIBERTY BANK FOUNDATION INC,CT,43082367,0,10000,2024,f
THE CEDARCREST CHARITABLE FOUNDATION AKA,DE,42810860,0,500,2021,t
Reynolds Family Foundation,DE,42605415,0,1000,2022,f
Kautz Family Foundation,AZ,42297981,0,25000,2023,f
ADELAIDE BREED BAYRD FOUNDATION,MA,42194866,0,75000,2018,t
RX FOUNDATION,MA,41820351,0,150000,2020,f
FIVE TOGETHER FOUNDATION,PA,41423970,0,75000,2023,f
