,,,,,,,,,,,,,
ein,business name,state,total assets,grantee count,cb grant count,intermediary grant count,paid officer count,phone,website,top officer name,top officer title,segment,segment priority
136084888,THE DYSON FOUNDATION,NY,"$238,809,538", 141 , 225 , 13 ,0,8456770644,WWW.DYSONFOUNDATION.ORG,ROBERT R DYSON,CHAIRMAN & DIRECTOR,Intermediary Funders,1
061479957,LIBERTY BANK FOUNDATION INC,CT,"$29,902,734", 136 , 5 , 12 ,1,8602758239,https://libertybank.ge/en,DAVID GLIDDEN,PRESIDENT AND CEO,Intermediary Funders,1
251086799,CLAUDE WORTHINGTON BENEDUM FOUNDATION,PA,"$433,734,264", 130 , 32 , 17 ,1,4122880360,WWW.BENEDUM.ORG,GREGORY S BABE,TRUSTEE (1)(2),Intermediary Funders,1
453611066,AARON'S FOUNDATION INC,GA,"$201,086", 128 , 1 , 10 ,0,6784023332,https://www.mlb.com/braves/community/atlanta-braves-foundation/henry-louis-aaron-fund,DOUGLAS A LINDSAY,DIRECTOR,Intermediary Funders,1
463460261,THE ERIC AND WENDY SCHMIDT FUND FOR,CA,"$1,055,676,240", 126 , 5 , 16 ,0,6504618088,https://tsffoundation.org,ERIC SCHMIDT,PRESIDENT & DIRECTOR,Intermediary Funders,1
311810011,THE OAK HILL FUND,VA,"$83,598,521", 124 , 8 , 17 ,2,4342200083,WWW.OAKHILLFUND.ORG,TODD A EDGERTON,PRESIDENT/TREASURER,Intermediary Funders,1
560529965,THE DUKE ENDOWMENT,NC,"$3,502,993,986", 124 , 17 , 33 ,2,7043760291,WWW.DUKEENDOWMENT.ORG,William Barnet III,Trustee,Intermediary Funders,1
882108924,Texas Capital Foundation,TX,"$3,652,866", 123 , 14 , 25 ,0,2149326600,TexasCapitalBank.com/Foundation,Effie Dennison,Board Member,Intermediary Funders,1
562453619,NEWALLIANCE FOUNDATION INC,CT,"$32,235,093", 120 , 88 , 34 ,0,2038596555,WWW.NEWALLIANCEFOUNDATION.ORG,ROBERT J LYONS JR,"DIRECTOR, CHAIR",Intermediary Funders,1
943086271,DERMODY PROPERTIES FOUNDATION,NV,"$3,926", 118 , -   , 10 ,0,7758588080,WWW.PARTNERWITHDP.COM/FOUNDATION,MICHAEL C DERMODY,FOUNDER,Intermediary Funders,1
