foundation_ein,name,state,lasso_score,keyword_grants,keyword_funding,siblings_funded,sibling_funding,median_grant,total_giving_5yr,unique_recipients_5yr,accepts_applications
510172279,ADOLPH COORS FOUNDATION,CO,34.0,2,200000,0,0,30000,37329710,208,t
384117113,THE MAYDAY FUND,NY,34.0,2,99000,0,0,55000,4536507,7,t
362490808,THE POETRY FOUNDATION,IL,34.0,25,331510,0,0,500,9103685,144,t
396075009,MELVIN S COHEN FOUNDATION INC,WI,33.2,4,50000,0,0,10000,11609400,27,t
137029285,OPEN SOCIETY INSTITUTE,NY,33.1,10,2190815,0,0,5718,619144119,645,t
760638639,THE FAVROT FUND,TX,32.5,2,100000,0,0,40000,6581000,13,t
943086742,HARRY A MERLO FOUNDATION INC,OR,31.5,2,28898,0,0,20000,4035198,37,t
131982683,THE AMBROSE MONELL FOUNDATION,NY,31.0,8,1900000,0,0,50000,53118333,73,t
202047246,THE C&K CLARK FAMILY FOUNDATION INC,FL,30.5,15,136000,0,0,2000,798728,19,t
650375751,FLORESCUE FAMILY FOUNDATION INC,FL,30.1,0,0,1,20000,15000,1995640,22,t
381211227,CHARLES STEWART MOTT FOUNDATION,MI,29.4,9,1536750,0,0,25000,484725815,843,t
521489400,David & Barbara B Hirschhorn,MD,29.1,2,100000,0,0,15000,7836707,113,t
310727384,KETTERING FAMILY FOUNDATION,OH,28.8,2,116000,0,0,20000,18011719,166,t
474690250,CHURCH MUTUAL INSURANCE COMPANY,WI,28.6,2,46000,0,0,500,3265446,507,t
061600346,CAROL L SIROT FOUNDATION,CT,28.6,2,38000,0,0,1000,411700,5,t
911663336,THE RUSSELL FAMILY FOUNDATION,WA,28.1,37,100300,0,0,5000,9680449,134,t
752734032,THE SUMNERS FOUNDATION,TX,28.0,3,66000,0,0,25000,9422324,33,t
470933520,WILLIAM C DOWLING JR FOUNDATION,NY,28.0,3,40000,0,0,8910,1783805,49,t
461261933,NOOR MUNSHI FOUNDATION,TX,27.9,0,0,1,5000,3175,1048393,22,t
416017815,THE BUSH FOUNDATION,MN,27.2,21,10581959,0,0,100000,226974202,200,t
814680770,MAKING A DIFFERENCE FOUNDATION,UT,26.9,2,7090,0,0,2000,1857023,114,t
410754835,The McKnight Foundation,MN,25.4,93,15734000,0,0,68000,529610850,671,t
311810011,THE OAK HILL FUND,VA,25.2,2,190000,0,0,20000,15693531,149,t
263922995,PAULSON FAMILY FOUNDATION,NY,24.0,5,10647000,0,0,50000,162130844,37,t
061499922,RHODA & DAVID CHASE FAMILY,CT,22.3,3,15000,0,0,1000,2655084,43,t
382902412,DICK AND BETSY DEVOS FAMILY FOUNDATION,MI,22.3,2,250000,0,0,12500,27771500,183,t
367092282,THE CHRISTOPHER FAMILY FOUNDATION,IL,22.1,2,88000,0,0,25000,14528626,133,t
156017667,The Schwartz Family Foundation Inc,NY,21.7,3,500,0,0,0,2213929,29,t
383202330,The Brookby Foundation,WI,21.4,2,66666,0,0,1500,8662966,113,t
136154484,MRS GILES WHITING FOUNDATION,NY,20.6,14,600000,0,0,20000,6475876,52,t
366068724,Dr Scholl Foundation,IL,20.6,10,285000,0,0,10000,23598500,281,t
200523317,THE PITNEY BOWES FOUNDATION,CT,20.0,2,13750,0,0,5000,7827108,144,t
131624176,SAMUEL H KRESS FOUNDATION,NY,19.1,98,4853000,0,0,17000,9034796,85,t
361210140,Washington Square Health Foundation,IL,18.3,9,290000,0,0,3000,2310858,43,t
237336418,TRUIST FOUNDATION INC,FL,18.1,0,0,1,20000,20000,212447071,1165,t
930806316,MEYER MEMORIAL TRUST,OR,18.0,4,493972,0,0,40000,167204211,543,t
135626345,NEW YORK FOUNDATION,NY,17.8,2,55000,0,0,15000,19625484,129,t
760465633,Oldham Little Church Foundation,TX,17.8,4,55300,0,0,9500,5379450,154,t
650848161,HI FOUNDATION INC,FL,17.7,8,82500,0,0,10000,4667500,60,t
412007734,XCEL ENERGY FOUNDATION,MN,17.2,0,0,1,50,500,30964940,2766,t
391555500,RICHARD G JACOBUS FAMILY FOUNDATION,WI,17.1,3,21000,0,0,1000,565833,63,t
222600747,INDEPENDENCE PUBLIC MEDIA OF,PA,17.1,9,1048300,0,0,25000,36023097,118,t
366108460,GAYLORD AND DOROTHY DONNELLEY FOUNDATION,IL,17.0,2,112000,0,0,8500,35179533,456,t
133994361,IAC CHARITABLE FOUNDATION INC,NY,17.0,3,85000,0,0,10000,3870500,79,t
366108775,LLOYD A FRY FOUNDATION,IL,16.5,3,150000,0,0,7500,27595578,308,t
363882837,REESE FAMILY CHARITABLE FOUNDATION,FL,16.3,0,0,1,7500,1500,573965,34,t
136022018,THE ACHELIS & BODMAN FOUNDATION,NY,16.1,1,50000,1,25000,25000,18981900,186,t
300127892,NEW YORK STATE HEALTH FDN,NY,15.9,3,23850,0,0,40000,54820114,259,t
936026156,The Ford Family Foundation,OR,15.9,14,391000,0,0,9074,117454937,788,t
381675780,THE SKILLMAN FOUNDATION,MI,15.9,2,250000,0,0,15000,63232136,311,t
136147952,ENDEAVOR FOUNDATION INC,NY,15.5,2,145000,0,0,53600,59576150,85,t
350868122,LILLY ENDOWMENT INC,IN,15.0,7,4530900,0,0,31500,4369601722,1239,t
746013920,Houston Endowment Inc,TX,14.7,12,2975000,0,0,30000,285359026,373,t
141893520,LIBERTY MUTUAL FOUNDATION INC,MA,14.7,5,210000,0,0,20000,191822036,549,t
841393308,DANIELS FUND,CO,14.1,2,200000,0,0,18009,257784994,535,t
231503488,THE WILLIAM PENN FOUNDATION,PA,14.1,11,2396000,0,0,25000,407082364,818,t
450921232,THE RALPH C WILSON JR FOUNDATION,MI,13.9,4,390000,0,0,19250,409824972,389,t
201131673,POND FAMILY FOUNDATION,ME,13.8,3,3000,0,0,2000,1533770,27,t
546037003,RICHARD S REYNOLDS FOUNDATION,VA,13.7,2,20000,0,0,25000,10726448,99,t
860767197,THE KAI FAMILY FOUNDATION,AZ,13.5,3,15000,0,0,2875,559736,15,t
237406010,GERALDINE R DODGE FOUNDATION INC,NJ,13.5,2,359500,0,0,20000,34021645,246,t
390810536,KOHLER FOUNDATION INC,WI,13.4,4,60000,0,0,5625,81301477,136,t
161578255,THE HARRY T MANGURIAN JR,FL,13.2,3,1500000,0,0,10000,35929210,42,t
061662503,WYETH FOUNDATION FOR AMERICAN ART,DE,13.1,7,587724,0,0,25000,5117691,29,t
256335329,THE FINE FOUNDATION,PA,12.8,3,25000,0,0,5000,5271188,58,t
042670567,ISLAND FOUNDATION INC,MA,12.7,3,55000,0,0,10000,7436000,122,t
580601653,JESSE PARKER WILLIAMS FOUNDATION INC,GA,12.6,2,200000,0,0,20000,3679830,51,t
474980950,HAUSKE FAMILY FOUNDATION INC,WI,12.6,3,66000,0,0,5000,3069968,31,t
251721100,THE HEINZ ENDOWMENTS,PA,12.6,19,1401100,0,0,50000,294096643,566,t
382891672,UYHAM PUA HUI KENG AND LIM BOON HAI,NV,12.5,3,5030,0,0,1500,1080063,9,t
346519769,The George Gund Foundation,OH,12.0,11,1204517,0,0,50000,116338088,290,t
237456468,M J MURDOCK CHARITABLE TRUST,WA,12.0,2,85000,0,0,61600,237102947,741,t
341595929,THE NORD FAMILY FOUNDATION,OH,12.0,4,205000,0,0,15000,37552751,281,t
136128226,LEVITT FOUNDATION INC,NY,11.7,5,222000,0,0,6000,2323900,47,t
866057798,MARGARET T MORRIS FOUNDATION,AZ,11.6,2,30000,0,0,10000,6292435,61,t
475638410,MORGAN FAMILY LEGACY FOUNDATION,KS,11.4,3,25000,0,0,10000,1527500,13,t
911178052,SEQUOIA FOUNDATION,WA,11.3,2,100000,0,0,10000,6624420,68,t
550754353,OAKLAND FOUNDATION INC,VT,11.2,2,3500,0,0,2470,741426,47,t
133993115,THE STATEN ISLAND FOUNDATION,NY,11.2,5,182000,0,0,25000,9291584,83,t
386052131,HUDSON-WEBBER FOUNDATION,MI,10.6,3,140000,0,0,5550,24034399,139,t
251127705,RICHARD KING MELLON FOUNDATION,PA,9.7,3,315000,0,0,200000,456866291,360,t
046037391,WILLIAM CASPAR GRAUSTEIN MEMORIAL FUND,CT,9.6,3,12500,0,0,10000,15930082,197,t
237011258,Allen E & Marie A Nickless,MI,9.5,5,13000,0,0,5000,1190853,30,t
364685801,Independence Blue Cross Foundation,PA,9.3,2,355104,0,0,35442,27014678,74,t
465446388,CARL & MARILYNN THOMA FOUNDATION,TX,8.9,3,70000,0,0,20000,63833421,31,t
581695425,Robert W Woodruff Foundation Inc,GA,8.8,5,18350000,0,0,1700000,681827568,37,t
226930631,THE ROUNDHOUSE FOUNDATION,OR,8.6,2,2000,0,0,10000,39839747,500,t
362167943,VISITING NURSE ASSOCIATION OF CHICAGO,IL,8.2,3,160000,0,0,45000,8832075,79,t
746070484,ALBERT & ETHEL HERZSTEIN,TX,8.2,3,43000,1,2500,8000,12792108,356,t
135566548,ATRAN FOUNDATION INC,NJ,7.7,6,250000,0,0,18000,11729250,27,t
800638652,THE MUGAR FOUNDATION,MA,7.5,2,200000,0,0,27500,3024983,13,t
266220561,ANONYMOUS TRUST,NC,7.4,12,82782,0,0,15000,46576818,95,t
363805338,ALPHAWOOD FOUNDATION,IL,6.7,3,985327,0,0,30000,36734350,109,t
720818077,THE BOOTH-BRICKER FUND,LA,6.4,3,200000,0,0,3000,11297470,56,t
866247076,Virginia G Piper Charitable Trust,AZ,6.4,4,6020000,0,0,10000,105396376,294,t
236266377,THE STEINMAN FOUNDATION,PA,6.4,19,184102,0,0,11250,19970934,51,t
203059092,RAMACHANDRA AND NIRANJINI REDDY,GA,6.3,3,12010,0,0,1000,481121,14,t
363606913,DENNIS & PHYLLIS WASHINGTON FOUNDATION,MT,6.2,7,120000,0,0,7500,139982616,369,t
133091704,DEDALUS FOUNDATION INC,NY,6.2,22,380700,0,0,2500,1173287,7,t
366059408,FIELD FOUNDATION OF ILLINOIS,IL,6.1,6,116960,0,0,25000,22109141,265,t
916020514,FOREST FOUNDATION,WA,6.1,2,100000,0,0,10000,4122400,71,t
731286874,THE ANNE AND HENRY ZARROW FOUNDATION,OK,6.1,2,482000,0,0,20000,113792349,317,t
620476283,BENWOOD FOUNDATION INC,TN,6.0,1,6000,1,203000,10000,15882035,64,t
462035823,BARZINJI FAMILY FOUNDATION,VA,5.8,0,0,1,10000,10000,3437066,36,t
133271577,ART MATTERS INC,NY,5.7,103,663800,0,0,7500,702600,1,t
251309888,THE GRABLE FOUNDATION,PA,5.7,8,218100,0,0,22275,39814117,224,t
936021893,THE COLLINS FOUNDATION,OR,5.5,7,160000,0,0,25000,57357654,589,t
842952123,The Renaissance Fund NFP,IL,5.5,5,22253,0,0,2500,2339922,27,t
626044177,Lyndhurst Foundation Inc,TN,5.4,1,120000,1,120000,10000,16395160,61,t
760041524,STRAKE FOUNDATION,TX,5.4,5,37500,0,0,5000,10553475,258,t
326266976,WILSON SHEEHAN FOUNDATION,OH,4.6,4,86660,0,0,25000,37542860,58,t
223253710,CHARLES P FERRO FOUNDATION,VT,4.3,2,30000,0,0,2500,802500,32,t
426173496,R J MCELROY TRUST,IA,4.2,10,76000,0,0,10000,6671099,21,t
541595360,VIRGINIA SARGEANT REYNOLDS FOUNDATION,VA,4.2,3,90000,0,0,25000,5055000,41,t
731167188,INASMUCH FOUNDATION,OK,4.1,20,334600,0,0,10000,60220663,214,t
592462315,RYDER SYSTEM CHARITABLE FOUNDATION INC,GA,3.7,3,30000,0,0,10000,8380166,54,t
741403105,The Moody Foundation,TX,3.6,2,290000,0,0,50000,276784484,332,t
136126105,CHARLES H REVSON FOUNDATION INC,NY,2.6,4,266500,0,0,64000,22188345,77,t
061057387,CONNECTICUT HEALTH FOUNDATION INC,CT,2.3,5,261250,0,0,20000,9310417,105,t
562453619,NEWALLIANCE FOUNDATION INC,CT,2.2,11,75850,0,0,5000,5328507,149,t
911215725,COLLEGE SPARK WASHINGTON,WA,2.2,3,180000,0,0,60000,14946471,52,t
720423887,BAPTIST COMMUNITY MINISTRIES,LA,2.1,8,398750,0,0,7500,44463166,198,t
936021333,THE AUTZEN FOUNDATION,OR,2.0,2,10000,0,0,5000,6708666,429,t
453845576,PATRICK P LEE FOUNDATION,NY,2.0,2,15000,0,0,38925,6359661,17,t
231360861,UNION BENEVOLENT ASSOCIATION,PA,2.0,0,0,1,1500,6500,814500,33,t
