foundation_ein,foundation_name,foundation_state,recipient_ein,recipient_name,amount,purpose_text,tax_year
842382067,Blackberry Fund Inc,DC,271476998,HORIZONS GREATER WASHINGTON INC,1000,Summer Swimming Program,2022
953307541,THE EVO AND ORA DECONCINI AND,AZ,271476998,HORIZONS GREATER WASHINGTON INC,850,PREPARE STUDENTS FROM UNDER-RESOURCED COMMUNITIES TO SUCCEED,2022
521254096,LESTER PORETSKY FAMILY FOUNDATION INC,MD,271476998,HORIZONS GREATER WASHINGTON INC,500,SUPPORT OF SEC. 501(C)(3) ORGANIZATION,2022
131659629,THE ROCKEFELLER FOUNDATION,NY,271476998,HORIZONS GREATER WASHINGTON INC,500,MATCHING GIFT PROGRAM - FOR GENERAL SUPPORT OF ITS MISSION,2022
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,500,PROGRAM/OPERATING SUPPORT,2022
200797192,THE ADLER FOUNDATION INC,VA,271476998,HORIZONS GREATER WASHINGTON INC,100,GENERAL SUPPORT,2022
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,80,PROGRAM/OPERATING SUPPORT,2022
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,80,PROGRAM/OPERATING SUPPORT,2022
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,80,PROGRAM/OPERATING SUPPORT,2022
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,80,PROGRAM/OPERATING SUPPORT,2022
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,80,PROGRAM/OPERATING SUPPORT,2022
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,80,PROGRAM/OPERATING SUPPORT,2022
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,80,PROGRAM/OPERATING SUPPORT,2022
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,80,PROGRAM/OPERATING SUPPORT,2022
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,80,PROGRAM/OPERATING SUPPORT,2022
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,70,PROGRAM/OPERATING SUPPORT,2022
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,68,PROGRAM/OPERATING SUPPORT,2022
276669056,HIMAN BROWN CHARITABLE TRUST,NY,271476998,HORIZONS GREATER WASHINGTON INC,150000,EDUCATIONAL,2021
276669056,HIMAN BROWN CHARITABLE TRUST,NY,271476998,HORIZONS GREATER WASHINGTON INC,100000,EDUCATIONAL,2021
812297831,THE SMART FAMILY FUND,IL,271476998,HORIZONS GREATER WASHINGTON INC,60000,ONGOING SUPPORT,2021
272764310,ALISANN AND TERRY COLLINS FOUNDATION,VA,271476998,HORIZONS GREATER WASHINGTON INC,35000,GENERAL USE,2021
812297831,THE SMART FAMILY FUND,IL,271476998,HORIZONS GREATER WASHINGTON INC,25000,CAPACITY BUILDING GRANT,2021
541829618,JOHN G & JEAN R GOSNELL FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,25000,GENERAL OPERATING SUPPORT,2021
541896244,JACK KENT COOKE FOUNDATION,VA,271476998,HORIZONS GREATER WASHINGTON INC,18460,SUPPORT HORIZONS GREATER WASHINGTON'S ACADEMIC SUMMER ENRICHMENT PROGRAM.,2021
237173302,REDSKIN FOUNDATION INC,MD,271476998,HORIZONS GREATER WASHINGTON INC,15000,TO SUPPORT YOUTH ACTIVITIES,2021
812433446,SMART FAMILY FOUNDATION OF ILLINOIS,IL,271476998,HORIZONS GREATER WASHINGTON INC,10000,"CULTURAL, HISTORICAL & OTHER EDUCATIONAL",2021
912078375,JOHN AND RACHEL KING FOUNDATION INC,MD,271476998,HORIZONS GREATER WASHINGTON INC,7500,GENERAL DONATION,2021
366141697,LUTHER I REPLOGLE FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,7500,GENERAL OPERATING SUPPORT,2021
